"site","month","atsidw_pop","stt","tourist_season"
"DU","may",436.301152760962,"decentralized","Out of Season"
"DU","june",749.292142417553,"decentralized","In Season"
"DU","july",1079.34432671066,"decentralized","In Season"
"DU","august",626.923844578714,"decentralized","In Season"
"DU","september",362.018686091117,"decentralized","Out of Season"
"SJ","may",447.41798666621,"decentralized","Out of Season"
"SJ","june",768.383901036691,"decentralized","In Season"
"SJ","july",1106.84572461136,"decentralized","In Season"
"SJ","august",642.897692475558,"decentralized","In Season"
"SJ","september",371.242823085493,"decentralized","Out of Season"
"BO","may",447.484749456233,"decentralized","Out of Season"
"BO","june",768.498557699075,"decentralized","In Season"
"BO","july",1107.01088584963,"decentralized","In Season"
"BO","august",642.993624344477,"decentralized","In Season"
"BO","september",371.298219174573,"decentralized","Out of Season"
"SL","may",448.273158682086,"decentralized","Out of Season"
"SL","june",769.852550999809,"decentralized","In Season"
"SL","july",1108.96129331398,"decentralized","In Season"
"SL","august",644.126494472931,"decentralized","In Season"
"SL","september",371.952397762548,"decentralized","Out of Season"
"FI","may",543.53564148818,"decentralized","Out of Season"
"FI","june",933.453837363819,"decentralized","In Season"
"FI","july",1344.62654359917,"decentralized","In Season"
"FI","august",781.009749506709,"decentralized","In Season"
"FI","september",450.995963522124,"decentralized","Out of Season"
"BB","may",716.387075837525,"decentralized","Out of Season"
"BB","june",1230.30435161063,"decentralized","In Season"
"BB","july",1772.23534969137,"decentralized","In Season"
"BB","august",1029.38105239576,"decentralized","In Season"
"BB","september",594.418571406908,"decentralized","Out of Season"
"YB","may",960.216280098809,"centralized","Out of Season"
"YB","june",1649.05022401725,"centralized","In Season"
"YB","july",2375.43262900266,"centralized","In Season"
"YB","august",1379.74075506609,"centralized","In Season"
"YB","september",796.734626724951,"centralized","Out of Season"
"FLBS","may",969.242926836177,"centralized","Out of Season"
"FLBS","june",1664.5523500829,"centralized","In Season"
"FLBS","july",2397.76321392903,"centralized","In Season"
"FLBS","august",1392.71119999945,"centralized","In Season"
"FLBS","september",804.224441434336,"centralized","Out of Season"
"LK","may",1110.90182745942,"decentralized","Out of Season"
"LK","june",1907.83362602915,"decentralized","In Season"
"LK","july",2748.20631899122,"decentralized","In Season"
"LK","august",1596.26175684653,"decentralized","In Season"
"LK","september",921.765201416775,"decentralized","Out of Season"
"BD","may",2034.15829944877,"decentralized","Out of Season"
"BD","june",3493.41004616936,"decentralized","In Season"
"BD","july",5032.20586571387,"decentralized","In Season"
"BD","august",2922.89473337882,"decentralized","In Season"
"BD","september",1687.83261333999,"decentralized","Out of Season"
"WS","may",2629.73270050308,"decentralized","Out of Season"
"WS","june",4516.23388266636,"decentralized","In Season"
"WS","july",6505.56858053634,"decentralized","In Season"
"WS","august",3778.67930070998,"decentralized","In Season"
"WS","september",2182.00747575964,"decentralized","Out of Season"
"HO","may",3016.54605127479,"centralized","Out of Season"
"HO","june",5180.53697350472,"centralized","In Season"
"HO","july",7462.48742663466,"centralized","In Season"
"HO","august",4334.49381429903,"centralized","In Season"
"HO","september",2502.96390716655,"centralized","Out of Season"
"WF","may",3247.31512497188,"centralized","Out of Season"
"WF","june",5576.85372064141,"centralized","In Season"
"WF","july",8033.37588039884,"centralized","In Season"
"WF","august",4666.08733399646,"centralized","In Season"
"WF","september",2694.44338486588,"centralized","Out of Season"
"WB","may",8045.79306604571,"decentralized","Out of Season"
"WB","june",13817.6337278866,"decentralized","In Season"
"WB","july",19904.0984530294,"decentralized","In Season"
"WB","august",11561.0501822663,"decentralized","In Season"
"WB","september",6675.95631113699,"decentralized","Out of Season"
"DA","may",9464.17102501602,"decentralized","Out of Season"
"DA","june",16253.518787803,"decentralized","In Season"
"DA","july",23412.955107334,"decentralized","In Season"
"DA","august",13599.1263080715,"decentralized","In Season"
"DA","september",7852.84828549387,"decentralized","Out of Season"
