"site","month","c12_0","c14_0","iso_c15_0","c15_0","c15_1","c16_0","c16_1w9","c16_1w7c","c16_2","c16_2w6","c17_0","c16_3w3","c18_0","c18_1w9c","c18_1w7c","c18_2w6c","c18_3w6","c19_0","c18_3w3","c18_4w3","c20_0","c20_4w6","c20_4w2","c20_5w3","c22_0","c22_1w9c","c22_6w3","c24_0","c26_0","c28_0"
"BD",7,0.4307,3.2165,0.0755,0.4246,0.2466,14.8389,0.9762,14.9354,0.0694,0.6694,0.1549,0.3817,1.9918,4.7296,1.5332,2.6631,0.6532,42.3686,1.9127,0.6265,0.1681,0.5413,0.5323,4.1199,0.2401,"1.0478000000000001",0.2667,0.3629,0.15,0.084
"BO",7,0.0277,0.1523,0.0069,0.0296,0.0373,1.2326,0.0834,0.935,0,0.0209,0.0183,0,0.4778,0.6593,0.0885,0.2035,0.0241,35.6429,0.0756,0.0126,0.0285,0.0208,0.0208,0.0873,0.0205,"0",0,0.0296,0.0179,0.0111
"FI",7,0.1356,1.1692,0.0626,0.2908,0.1458,6.5032,0.7449,4.5155,0.024,0.1071,0.1059,0.0982,1.2903,2.6077,0.9168,1.5045,0.1412,40.5184,0.7749,0.2028,0.1218,0.1749,0.1749,0.7842,0.2209,"0.40639999999999998",0.0424,0.362,0.0644,0.0353
"FLBS",7,1.0626,1.5827,0.0589,0.286,0.1422,5.9427,0.6234,3.8178,0.0333,0.1802,0.0879,0.0802,1.4944,3.4957,0.6825,1.2264,0.1253,37.9015,0.5131,0.1666,0.0973,0.1808,0.1808,0.7826,0.1675,"0.4254",0.0603,0.1967,0.0578,0.0488
"SJ",7,0.1822,0.7939,0.0578,0.2212,0.1455,4.6642,0.7203,1.7826,0.017,0.0736,0.0842,0.0302,1.2063,3.349,0.848,1.7665,0.0443,43.9115,0.5811,0.0826,0.0916,0.0407,0.0407,0.2006,0.1536,"0.24640000000000001",0.0197,0.1601,0.0395,0.0159
"SL",7,0.0873,1.1258,0.0418,0.2429,0.1416,5.5327,0.6357,2.8579,0.0145,0.1014,0.0861,0.0859,1.0306,1.9141,0.9053,1.2665,0.0861,41.7488,0.9777,0.1489,0.1133,0.0795,0.0795,0.3883,0.1299,"0.16420000000000001",0.0261,0.1223,0.0306,0.0087
"WB",7,0.2012,2.4094,0.1066,0.6958,0.3272,11.9812,1.4816,8.8175,0.0413,0.2546,0.2076,0.206,1.5184,4.5055,1.5153,2.2955,0.2558,44.4018,1.4295,0.3244,0.161,0.2205,0.2205,1.2027,0.2538,"0.53990000000000005",0.0811,0.3116,0.0813,0.0329
"YB",7,0.3095,2.1979,0.0369,0.199,0.2111,8.6196,0.4354,10.2765,0.0394,0.4776,0.0726,0.1116,1.0352,2.4259,0.6028,1.2431,0.3073,38.8779,0.8489,0.29,0.0941,0.2843,0.2843,2.7677,0.1473,"0.14430000000000001",0.1276,0.2071,0.0601,0.0461
"BB",8,0.0962,3.1658,0.0412,0.418,0.3576,15.3336,0.7219,17.1973,0.0521,0.4496,0.1259,0.1671,1.1567,3.35,0.7569,1.9552,0.4826,43.9303,1.1134,0.6816,0.1383,0.4504,0.4504,3.0569,0.1456,"0.2117",0.1667,0.2831,0.1107,0.0574
"BD",8,0.0883,1.2628,0.0273,0.1529,0.1621,7.0466,0.2779,6.3778,0.0217,0.18,0.0505,0.2259,0.8036,1.7067,0.442,1.0803,0.2263,40.7695,1.0611,0.3704,0.0858,0.1464,0.1464,1.2773,0.1331,"0.10879999999999999",0.0668,0.1575,0.0468,0.0286
