"site","month","total_dry_mass_carbon_mg","carbon_mg","total_dry_mass_nitrogen_mg","nitrogen_mg","total_dry_mass_phosphorus_mg","phosphorus_ug","collection_data_formatted"
"BO","july",7,6,7,6,34,35,201707
"FLBS","july",5,9,5,34,10,8,201707
"SJ","july",19,11,19,31,20,5,201707
"SL","july",11,35,11,30,33,26,201707
"WB","july",30,10,30,32,12,19,201707
"YB","july",6,20,6,19,27,34,201707
"FI","july",8,7,8,7,31,17,201707
"BD","july",15,26,15,20,8,11,201707
"FL","august",4,33,4,33,26,24,201708
"BD","august",23,27,23,23,17,27,201708
"WB","august",28,19,28,10,24,21,201708
"WF","august",31,28,31,25,25,32,201708
"WB","august",18,31,18,28,14,15,201708
"DA","august",27,15,27,13,3,23,201708
"LK","august",3,5,3,5,18,14,201708
"BO","august",26,4,26,4,27,9,201708
"SA","august",20,34,20,24,5,6,201708
"SJ","august",21,8,21,29,9,3,201708
"FI","august",25,3,25,2,6,4,201708
"BB","august",10,24,10,17,19,28,201708
"YB","august",24,16,24,14,4,29,201708
"FL","september",8,12,8,35,28,20,201709
"YB","september",12,17,12,12,21,33,201709
"WB","september",22,25,22,18,11,10,201709
"BO","september",17,14,17,9,30,16,201709
"BD","september",9,23,9,16,32,31,201709
"FI","september",19,13,19,8,13,22,201709
"SJ","september",29,32,29,27,16,12,201709
"SA","september",8,30,8,22,23,7,201709
"LK","september",24,18,24,11,7,13,201709
"WF","september",16,22,16,21,15,30,201709
"DA","september",14,21,14,15,22,25,201709
"WS","september",13,29,13,26,29,18,201709
