"sampling_site","distance_weighted_population","month","inverse_distance_weighted_scalar","scaled_idw_population","stt","tourist_season"
"DU",436.301152760962,"september",0.0760242793132525,33.1694807021934,"decentralized","Out of Season"
"SJ",447.41798666621,"september",0.0774494872936774,34.6522936732674,"decentralized","Out of Season"
"SL",448.273158682086,"september",0.0776578922554672,34.8119486579514,"decentralized","Out of Season"
"BO",447.484749456233,"september",0.078093413737479,34.9456116804978,"decentralized","Out of Season"
"DU",436.301152760962,"august",0.126185701065989,55.0549668370411,"decentralized","In Season"
"SJ",447.41798666621,"august",0.129290037906483,57.8466884561168,"decentralized","In Season"
"SL",448.273158682086,"august",0.12961368775402,58.1023372179281,"decentralized","In Season"
"BO",447.484749456233,"august",0.130098036716783,58.2168873649574,"decentralized","In Season"
"SJ",447.41798666621,"june",0.163894379462682,73.3292932851011,"decentralized","In Season"
"SL",448.273158682086,"june",0.164590154678507,73.7813485257074,"decentralized","In Season"
"DU",436.301152760962,"june",0.171430559931082,74.7953509163885,"decentralized","In Season"
"BO",447.484749456233,"june",0.170293958801778,76.2039494883238,"decentralized","In Season"
"SJ",447.41798666621,"july",0.214896128717789,96.1483932532761,"decentralized","In Season"
"SL",448.273158682086,"july",0.215681137386821,96.6840647245351,"decentralized","In Season"
"DU",436.301152760962,"july",0.222143170729743,96.9213214673621,"decentralized","In Season"
"BB",716.387075837525,"september",0.137432824946273,98.4550995873513,"decentralized","Out of Season"
"BO",447.484749456233,"july",0.221540368841671,99.1359364455568,"decentralized","In Season"
"LK",1110.90182745942,"september",0.106003201554169,117.759150323076,"decentralized","Out of Season"
"BB",716.387075837525,"august",0.207382639274857,148.566242529583,"decentralized","In Season"
"BB",716.387075837525,"june",0.240018968877339,171.946487259575,"decentralized","In Season"
"LK",1110.90182745942,"august",0.16694628669201,185.460934973717,"decentralized","In Season"
"LK",1110.90182745942,"june",0.19576334695505,217.473859881938,"decentralized","In Season"
"BB",716.387075837525,"july",0.333423837372941,238.860527870128,"decentralized","In Season"
"BD",2034.15829944877,"september",0.122191933837501,248.557736341247,"decentralized","Out of Season"
"FI",543.53564148818,"september",0.468907009446986,254.867672178072,"decentralized","Out of Season"
"LK",1110.90182745942,"july",0.245139424285686,272.325834421319,"decentralized","In Season"
"HO",3016.54605127479,"september",0.119699169534913,361.078057201413,"centralized","Out of Season"
"FI",543.53564148818,"august",0.683553207128798,371.535530928054,"decentralized","In Season"
"BD",2034.15829944877,"august",0.187448586984423,381.30009893431,"decentralized","In Season"
"BD",2034.15829944877,"june",0.213830077540171,434.964226900114,"decentralized","In Season"
"FLBS",969.242926836177,"september",0.541652265284473,524.992626931768,"centralized","Out of Season"
"HO",3016.54605127479,"august",0.190615720369375,575.001098591139,"centralized","In Season"
"FI",543.53564148818,"june",1.07776137195118,585.801718674667,"decentralized","In Season"
"BD",2034.15829944877,"july",0.288900356284828,587.66905745049,"decentralized","In Season"
"FI",543.53564148818,"july",1.14543600528622,622.585293916905,"decentralized","In Season"
"HO",3016.54605127479,"june",0.217692349615847,656.678997626414,"centralized","In Season"
"FLBS",969.242926836177,"august",0.681138262249834,660.188442883137,"centralized","In Season"
"FLBS",969.242926836177,"june",0.689691505976316,668.478613866536,"centralized","In Season"
"FLBS",969.242926836177,"july",0.924836020158199,896.390771021654,"centralized","In Season"
"HO",3016.54605127479,"july",0.306871426682896,925.691790409351,"centralized","In Season"
"WB",8045.79306604571,"september",0.124014532603633,997.795266511207,"decentralized","Out of Season"
"DA",9464.17102501602,"september",0.134890188898806,1276.62381733502,"decentralized","Out of Season"
"YB",960.216280098809,"september",1.42611077224355,1369.37478073254,"centralized","Out of Season"
"WS",2629.73270050308,"september",0.548157118001973,1441.50669822331,"decentralized","Out of Season"
"YB",960.216280098809,"august",1.60075439603414,1537.07043151172,"centralized","In Season"
"YB",960.216280098809,"june",1.60095848153491,1537.26639773209,"centralized","In Season"
"WB",8045.79306604571,"august",0.193425664424207,1556.26286961957,"decentralized","In Season"
"WB",8045.79306604571,"june",0.222417119875946,1789.52212086775,"decentralized","In Season"
"YB",960.216280098809,"july",1.89070256640551,1815.48338508718,"centralized","In Season"
"WS",2629.73270050308,"august",0.703567302143033,1850.19394145026,"decentralized","In Season"
"WS",2629.73270050308,"july",0.768904674265891,2022.01376548668,"decentralized","In Season"
"DA",9464.17102501602,"august",0.218968763424936,2072.35782618987,"decentralized","In Season"
"WS",2629.73270050308,"june",0.811655562889658,2134.43717527617,"decentralized","In Season"
"DA",9464.17102501602,"june",0.236030679431682,2233.83471729217,"decentralized","In Season"
"WB",8045.79306604571,"july",0.299234513823645,2407.57897644384,"decentralized","In Season"
"DA",9464.17102501602,"july",0.303276836794804,2870.2638513519,"decentralized","In Season"
"WF",3247.31512497188,"september",0.996573229219568,3236.18732038678,"centralized","Out of Season"
"WF",3247.31512497188,"august",1.2301747910994,3994.76520549621,"centralized","In Season"
"WF",3247.31512497188,"june",1.28911869110835,4186.1746235201,"centralized","In Season"
"WF",3247.31512497188,"july",1.54003400029213,5000.9757021196,"centralized","In Season"
