"site","month","c12_0","c14_0","iso_c15_0","c15_0","c15_1","c16_0","c16_1w9","c16_1w7c","c16_2","c16_2w6","c17_0","c16_3w3","c18_0","c18_1w9c","c18_1w7c","c18_2w6c","c18_3w6","c19_0","c18_3w3","c18_4w3","c20_0","c20_4w6","c20_4w2","c20_5w3","c22_0","c22_1w9c","c22_6w3","c24_0","c26_0","c28_0","tourist_season","stt"
"BD","july","0.43070000000000003","3.2164999999999999","7.5499999999999998E-2","0.42459999999999998","0.24660000000000001","14.838900000000001","0.97619999999999996","14.9354","6.9400000000000003E-2","0.6694","0.15490000000000001","0.38169999999999998","1.9918","4.7295999999999996","1.5331999999999999","2.6631","0.6532","42.368600000000001","1.9127000000000001","0.62649999999999995","0.1681","0.5413","0.5323","4.1199000000000003","0.24010000000000001","1.0478000000000001","0.26669999999999999","0.3629","0.15","8.4000000000000005E-2","In Season","Decentralized"
"BO","july","2.7699999999999999E-2","0.15229999999999999","6.8999999999999999E-3","2.9600000000000001E-2","3.73E-2","1.2325999999999999","8.3400000000000002E-2","0.93500000000000005","0","2.0899999999999998E-2","1.83E-2","0","0.4778","0.6593","8.8499999999999995E-2","0.20349999999999999","2.41E-2","35.642899999999997","7.5600000000000001E-2","1.26E-2","2.8500000000000001E-2","2.0799999999999999E-2","2.0799999999999999E-2","8.7300000000000003E-2","2.0500000000000001E-2","0","0","2.9600000000000001E-2","1.7899999999999999E-2","1.11E-2","In Season","Decentralized"
"FI","july","0.1356","1.1692","6.2600000000000003E-2","0.2908","0.14580000000000001","6.5031999999999996","0.74490000000000001","4.5155000000000003","2.4E-2","0.1071","0.10589999999999999","9.8199999999999996E-2","1.2903","2.6076999999999999","0.91679999999999995","1.5044999999999999","0.14119999999999999","40.5184","0.77490000000000003","0.20280000000000001","0.12180000000000001","0.1749","0.1749","0.78420000000000001","0.22090000000000001","0.40639999999999998","4.24E-2","0.36199999999999999","6.4399999999999999E-2","3.5299999999999998E-2","In Season","Decentralized"
"FLBS","july","1.0626","1.5827","5.8900000000000001E-2","0.28599999999999998","0.14219999999999999","5.9427000000000003","0.62339999999999995","3.8178000000000001","3.3300000000000003E-2","0.1802","8.7900000000000006E-2","8.0199999999999994E-2","1.4944","3.4956999999999998","0.6825","1.2263999999999999","0.12529999999999999","37.901499999999999","0.5131","0.1666","9.7299999999999998E-2","0.18079999999999999","0.18079999999999999","0.78259999999999996","0.16750000000000001","0.4254","6.0299999999999999E-2","0.19670000000000001","5.7799999999999997E-2","4.8800000000000003E-2","In Season","Centralized"
"SJ","july","0.1822","0.79390000000000005","5.7799999999999997E-2","0.22120000000000001","0.14549999999999999","4.6642000000000001","0.72030000000000005","1.7826","1.7000000000000001E-2","7.3599999999999999E-2","8.4199999999999997E-2","3.0200000000000001E-2","1.2062999999999999","3.3490000000000002","0.84799999999999998","1.7665","4.4299999999999999E-2","43.911499999999997","0.58109999999999995","8.2600000000000007E-2","9.1600000000000001E-2","4.07E-2","4.07E-2","0.2006","0.15359999999999999","0.24640000000000001","1.9699999999999999E-2","0.16009999999999999","3.95E-2","1.5900000000000001E-2","In Season","Decentralized"
"SL","july","8.7300000000000003E-2","1.1257999999999999","4.1799999999999997E-2","0.2429","0.1416","5.5327000000000002","0.63570000000000004","2.8578999999999999","1.4500000000000001E-2","0.1014","8.6099999999999996E-2","8.5900000000000004E-2","1.0306","1.9140999999999999","0.90529999999999999","1.2665","8.6099999999999996E-2","41.748800000000003","0.97770000000000001","0.1489","0.1133","7.9500000000000001E-2","7.9500000000000001E-2","0.38829999999999998","0.12989999999999999","0.16420000000000001","2.6100000000000002E-2","0.12230000000000001","3.0599999999999999E-2","8.6999999999999994E-3","In Season","Decentralized"
"WB","july","0.20119999999999999","2.4094000000000002","0.1066","0.69579999999999997","0.32719999999999999","11.981199999999999","1.4816","8.8175000000000008","4.1300000000000003E-2","0.25459999999999999","0.20760000000000001","0.20599999999999999","1.5184","4.5054999999999996","1.5153000000000001","2.2955000000000001","0.25580000000000003","44.401800000000001","1.4295","0.32440000000000002","0.161","0.2205","0.2205","1.2027000000000001","0.25380000000000003","0.53990000000000005","8.1100000000000005E-2","0.31159999999999999","8.1299999999999997E-2","3.2899999999999999E-2","In Season","Decentralized"
"YB","july","0.3095","2.1979000000000002","3.6900000000000002E-2","0.19900000000000001","0.21110000000000001","8.6196000000000002","0.43540000000000001","10.2765","3.9399999999999998E-2","0.47760000000000002","7.2599999999999998E-2","0.1116","1.0351999999999999","2.4258999999999999","0.6028","1.2431000000000001","0.30730000000000002","38.877899999999997","0.84889999999999999","0.28999999999999998","9.4100000000000003E-2","0.2843","0.2843","2.7677","0.14729999999999999","0.14430000000000001","0.12759999999999999","0.20710000000000001","6.0100000000000001E-2","4.6100000000000002E-2","In Season","Centralized"
"BB","august","9.6199999999999994E-2","3.1657999999999999","4.1200000000000001E-2","0.41799999999999998","0.35759999999999997","15.333600000000001","0.72189999999999999","17.197299999999998","5.21E-2","0.4496","0.12590000000000001","0.1671","1.1567000000000001","3.35","0.75690000000000002","1.9552","0.48259999999999997","43.930300000000003","1.1133999999999999","0.68159999999999998","0.13830000000000001","0.45040000000000002","0.45040000000000002","3.0569000000000002","0.14560000000000001","0.2117","0.16669999999999999","0.28310000000000002","0.11070000000000001","5.74E-2","In Season","Decentralized"
"BD","august","8.8300000000000003E-2","1.2627999999999999","2.7300000000000001E-2","0.15290000000000001","0.16209999999999999","7.0465999999999998","0.27789999999999998","6.3777999999999997","2.1700000000000001E-2","0.18","5.0500000000000003E-2","0.22589999999999999","0.80359999999999998","1.7067000000000001","0.442","1.0803","0.2263","40.769500000000001","1.0610999999999999","0.37040000000000001","8.5800000000000001E-2","0.1464","0.1464","1.2773000000000001","0.1331","0.10879999999999999","6.6799999999999998E-2","0.1575","4.6800000000000001E-2","2.86E-2","In Season","Decentralized"
"BO","august","2.5899999999999999E-2","0.29380000000000001","8.8999999999999999E-3","4.07E-2","0.04","2.0293999999999999","7.3899999999999993E-2","2.4689999999999999","6.4000000000000003E-3","3.3700000000000001E-2","2.2200000000000001E-2","8.8999999999999999E-3","0.30740000000000001","0.69340000000000002","0.1174","0.28589999999999999","6.4299999999999996E-2","41.679900000000004","0.107","5.9700000000000003E-2","2.7400000000000001E-2","4.65E-2","4.65E-2","0.21829999999999999","1.8200000000000001E-2","0","2.0899999999999998E-2","2.4400000000000002E-2","1.77E-2","9.5999999999999992E-3","In Season","Decentralized"
"DA","august","0.12180000000000001","1.0680000000000001","2.75E-2","0.15459999999999999","0.15970000000000001","6.4927999999999999","0.34449999999999997","8.6537000000000006","1.3299999999999999E-2","0.129","5.9400000000000001E-2","5.5599999999999997E-2","0.75309999999999999","1.9538","0.38240000000000002","0.96160000000000001","0.17280000000000001","46.597000000000001","0.43959999999999999","0.1822","8.1699999999999995E-2","0.14799999999999999","0.14799999999999999","0.77229999999999999","0.1052","9.2100000000000001E-2","4.3900000000000002E-2","0.11940000000000001","6.9599999999999995E-2","4.3400000000000001E-2","In Season","Decentralized"
"FI","august","3.1399999999999997E-2","0.3291","9.4999999999999998E-3","6.1400000000000003E-2","4.19E-2","2.0863","0.1033","1.8272999999999999","1.2500000000000001E-2","3.1800000000000002E-2","2.5999999999999999E-2","2.24E-2","0.54010000000000002","0.99670000000000003","0.16070000000000001","0.52539999999999998","4.3900000000000002E-2","47.801900000000003","0.2137","7.3999999999999996E-2","5.4399999999999997E-2","3.6400000000000002E-2","3.6400000000000002E-2","0.20269999999999999","3.2000000000000001E-2","4.8800000000000003E-2","1.4800000000000001E-2","3.7699999999999997E-2","1.7100000000000001E-2","9.1999999999999998E-3","In Season","Decentralized"
"FLBS","august","0.35489999999999999","3.8885999999999998","0.1525","0.66279999999999994","0.32329999999999998","18.145600000000002","1.5396000000000001","18.066700000000001","6.0699999999999997E-2","0.64859999999999995","0.23769999999999999","0.16589999999999999","2.7675000000000001","9.4392999999999994","1.9172","5.4429999999999996","0.70899999999999996","46.471899999999998","1.7421","0.56259999999999999","0.20580000000000001","0.55730000000000002","0.55730000000000002","2.2597999999999998","0.33100000000000002","0.94450000000000001","0.1691","0.45529999999999998","0.128","7.9200000000000007E-2","In Season","Centralized"
"LK","august","0.2077","4.1565000000000003","8.4500000000000006E-2","0.69130000000000003","0.33560000000000001","22.5916","1.3766","31.727599999999999","0.11559999999999999","0.4803","0.2319","0.3029","1.9305000000000001","6.2712000000000003","1.0971","2.4805000000000001","0.81169999999999998","51.452399999999997","1.6519999999999999","0.69640000000000002","0.1943","0.78590000000000004","0.78590000000000004","3.5956000000000001","0.2492","0.378","0.32090000000000002","0.4904","0.1613","7.8600000000000003E-2","In Season","Decentralized"
"SJ","august","9.4700000000000006E-2","0.67969999999999997","3.9100000000000003E-2","0.1918","0.1363","4.3788","0.43769999999999998","2.8793000000000002","1.0500000000000001E-2","7.1900000000000006E-2","7.2099999999999997E-2","3.5200000000000002E-2","0.86839999999999995","2.1333000000000002","0.59960000000000002","1.6291","7.6700000000000004E-2","42.597900000000003","0.50800000000000001","0.1351","9.1300000000000006E-2","8.1600000000000006E-2","8.1600000000000006E-2","0.4","0.13170000000000001","0.15579999999999999","1.55E-2","0.13339999999999999","2.24E-2","1.24E-2","In Season","Decentralized"
"SL","august","7.1199999999999999E-2","1.0037","3.0499999999999999E-2","0.18740000000000001","0.13539999999999999","5.6551","0.37530000000000002","4.1124000000000001","1.77E-2","0.1087","9.2700000000000005E-2","8.3599999999999994E-2","0.81320000000000003","1.9542999999999999","0.7651","1.6780999999999999","0.12790000000000001","42.093600000000002","1.0974999999999999","0.19980000000000001","9.4100000000000003E-2","0.13","0.13","0.5988","0.10829999999999999","6.6199999999999995E-2","2.5000000000000001E-2","9.2100000000000001E-2","2.9700000000000001E-2","1.4800000000000001E-2","In Season","Decentralized"
"WB","august","8.2699999999999996E-2","0.58979999999999999","2.46E-2","0.12909999999999999","9.0899999999999995E-2","3.7201","0.32179999999999997","2.1440000000000001","1.46E-2","5.6500000000000002E-2","5.2699999999999997E-2","0.26229999999999998","0.54990000000000006","1.5886","0.24790000000000001","1.1383000000000001","0.1273","37.589799999999997","1.1043000000000001","0.19650000000000001","7.3300000000000004E-2","6.6100000000000006E-2","6.6100000000000006E-2","0.36570000000000003","9.6100000000000005E-2","6.2899999999999998E-2","3.3500000000000002E-2","9.8199999999999996E-2","2.9600000000000001E-2","1.4800000000000001E-2","In Season","Decentralized"
"WF","august","0.15909999999999999","1.6769000000000001","6.0699999999999997E-2","0.29409999999999997","0.21360000000000001","10.960599999999999","0.72209999999999996","11.1409","2.7799999999999998E-2","0.2243","0.111","0.4355","1.075","2.9611999999999998","1.0223","2.5613999999999999","0.38279999999999997","48.715200000000003","2.0767000000000002","0.52129999999999999","0.13400000000000001","0.31709999999999999","0.31709999999999999","1.4923","0.27579999999999999","0.2208","9.7799999999999998E-2","0.38990000000000002","0.1186","4.82E-2","In Season","Centralized"
"WS","august","0.16550000000000001","1.167","4.6399999999999997E-2","0.21010000000000001","0.19209999999999999","7.4032","0.63090000000000002","5.5376000000000003","1.4E-2","0.1799","8.3000000000000004E-2","0.27229999999999999","0.96179999999999999","3.5916999999999999","0.88590000000000002","2.8412999999999999","0.2026","43.092199999999998","1.5938000000000001","0.34399999999999997","9.6799999999999997E-2","0.1628","0.1628","0.69130000000000003","0.24660000000000001","9.8199999999999996E-2","6.1499999999999999E-2","0.2069","4.53E-2","2.3300000000000001E-2","In Season","Decentralized"
"YB","august","9.64E-2","2.2667000000000002","3.6900000000000002E-2","0.2301","0.18809999999999999","10.992599999999999","0.64870000000000005","12.1591","3.6999999999999998E-2","0.40129999999999999","8.1900000000000001E-2","0.34710000000000002","1.0765","2.5678999999999998","0.65620000000000001","1.8945000000000001","0.39500000000000002","49.074800000000003","1.6557999999999999","0.41160000000000002","0.1157","0.31280000000000002","0.31280000000000002","2.2267999999999999","0.1757","8.5999999999999993E-2","0.115","0.25790000000000002","7.5600000000000001E-2","4.58E-2","In Season","Centralized"
"BD","september","0.17419999999999999","3.6791","6.3899999999999998E-2","0.34560000000000002","0.33579999999999999","19.008600000000001","0.79620000000000002","18.123000000000001","7.8399999999999997E-2","0.85650000000000004","0.14399999999999999","1.3275999999999999","1.5785","6.0134999999999996","2.0289999999999999","5.1901999999999999","1.1272","56.553899999999999","5.2674000000000003","2.4424000000000001","0.18709999999999999","0.50360000000000005","0.50360000000000005","6.2168000000000001","0.35770000000000002","0.19600000000000001","0.31180000000000002","0.43140000000000001","0.1108","6.2899999999999998E-2","Out of Season","Decentralized"
"BO","september","9.5799999999999996E-2","0.67589999999999995","1.9900000000000001E-2","9.4600000000000004E-2","0.1045","3.7271000000000001","0.2261","4.2412000000000001","1.8700000000000001E-2","9.1399999999999995E-2","4.19E-2","3.5099999999999999E-2","0.64080000000000004","1.5323","0.34210000000000002","0.82520000000000004","0.17549999999999999","51.876300000000001","0.35260000000000002","0.24529999999999999","4.9500000000000002E-2","9.7900000000000001E-2","9.7900000000000001E-2","0.66820000000000002","5.5899999999999998E-2","0","3.4200000000000001E-2","5.2900000000000003E-2","2.5499999999999998E-2","1.47E-2","Out of Season","Decentralized"
"DA","september","0.27229999999999999","1.5985","3.56E-2","0.20649999999999999","0.12640000000000001","8.2009000000000007","0.46339999999999998","9.9533000000000005","2.7099999999999999E-2","0.2437","7.3999999999999996E-2","9.3399999999999997E-2","0.97019999999999995","2.6722000000000001","1.1564000000000001","2.0036999999999998","0.26369999999999999","50.561599999999999","1.1014999999999999","0.54390000000000005","9.4E-2","0.21029999999999999","0.2001","1.4842","0.14380000000000001","0.1051","6.8199999999999997E-2","0.18290000000000001","7.0800000000000002E-2","3.5499999999999997E-2","Out of Season","Decentralized"
"FI","september","7.3200000000000001E-2","0.71960000000000002","1.9E-2","0.1055","9.1499999999999998E-2","4.0185000000000004","0.18679999999999999","4.3478000000000003","1.09E-2","0.1409","4.0800000000000003E-2","4.6199999999999998E-2","0.62329999999999997","1.7663","0.56320000000000003","1.4571000000000001","0.15409999999999999","50.524000000000001","0.626","0.38030000000000003","6.93E-2","8.3199999999999996E-2","8.3199999999999996E-2","0.96","6.7900000000000002E-2","3.78E-2","3.73E-2","0.1037","2.2200000000000001E-2","1.4200000000000001E-2","Out of Season","Decentralized"
"FLBS","september","1.0708","4.3906000000000001","0.1867","1.0732999999999999","0.60089999999999999","19.925799999999999","2.7907000000000002","17.0808","4.8899999999999999E-2","0.55700000000000005","0.35299999999999998","0.43890000000000001","3.3410000000000002","10.720700000000001","1.6361000000000001","5.2828999999999997","0.59450000000000003","56.428699999999999","2.3586","0.7349","0.27179999999999999","0.41199999999999998","0.41199999999999998","2.1581999999999999","0.40889999999999999","0.64410000000000001","0.1991","0.59530000000000005","0.1666","5.8500000000000003E-2","Out of Season","Centralized"
"LK","september","0.37209999999999999","2.2355","7.5300000000000006E-2","0.56630000000000003","0.24349999999999999","12.294499999999999","1.3255999999999999","12.2204","5.3400000000000003E-2","0.30890000000000001","0.1804","0.41820000000000002","1.4197","4.4340999999999999","1.2295","3.0918000000000001","0.34139999999999998","52.035400000000003","2.2919","0.55210000000000004","0.1489","0.25219999999999998","0.25219999999999998","1.905","0.17480000000000001","0.3831","0.14430000000000001","0.43070000000000003","9.9400000000000002E-2","5.1200000000000002E-2","Out of Season","Decentralized"
"SJ","september","0.1104","1.2269000000000001","2.5499999999999998E-2","0.154","0.16489999999999999","5.4978999999999996","0.33210000000000001","5.5738000000000003","2.63E-2","0.2165","6.2399999999999997E-2","0.1038","0.66239999999999999","2.1219000000000001","0.75719999999999998","2.1713","0.24099999999999999","51.698300000000003","1.0995999999999999","0.50890000000000002","8.2000000000000003E-2","0.15190000000000001","0.15190000000000001","1.4641","0.1104","6.7799999999999999E-2","6.6699999999999995E-2","0.1187","3.0700000000000002E-2","1.89E-2","Out of Season","Decentralized"
"SL","september","6.7400000000000002E-2","0.6583","2.46E-2","0.11940000000000001","0.11","4.7893999999999997","0.23780000000000001","3.8241000000000001","1.4999999999999999E-2","0.1047","5.3100000000000001E-2","8.3099999999999993E-2","0.7742","1.7213000000000001","0.77380000000000004","1.4518","0.1143","49.192300000000003","1.1207","0.23","8.6199999999999999E-2","0.1033","0.1033","0.66469999999999996","0.1047","7.0599999999999996E-2","2.7099999999999999E-2","8.1900000000000001E-2","2.35E-2","1.5800000000000002E-2","Out of Season","Decentralized"
"WB","september","0.12659999999999999","2.9001000000000001","3.15E-2","0.19320000000000001","0.15690000000000001","13.4513","0.2843","15.847200000000001","0.12520000000000001","1.4633","6.59E-2","0.15260000000000001","0.88819999999999999","2.5945999999999998","0.8004","2.4948999999999999","0.43109999999999998","51.704599999999999","1.8833","1.0385","0.10580000000000001","0.4738","0.48320000000000002","8.2551000000000005","0.13950000000000001","4.2599999999999999E-2","0.23960000000000001","0.17979999999999999","6.3100000000000003E-2","0.12570000000000001","Out of Season","Decentralized"
"WF","september","0.1653","1.4791000000000001","4.8599999999999997E-2","0.25080000000000002","0.1045","9.3267000000000007","0.64019999999999999","9.3689","2.3099999999999999E-2","0.21579999999999999","0.1016","0.36720000000000003","1.2309000000000001","3.9100999999999999","1.1309","3.1414","0.35449999999999998","53.873800000000003","1.9866999999999999","0.52","0.46050000000000002","0.26519999999999999","0.26519999999999999","1.4575","0.7056","0.20119999999999999","0.11550000000000001","0.7419","0.49680000000000002","0.38440000000000002","Out of Season","Centralized"
"WS","september","0.22339999999999999","1.7169000000000001","4.9700000000000001E-2","0.26939999999999997","0.20019999999999999","9.9298000000000002","0.71150000000000002","9.5012000000000008","1.7399999999999999E-2","0.34949999999999998","0.1024","0.64049999999999996","1.2242999999999999","3.8814000000000002","1.2299","3.2930000000000001","0.35949999999999999","48.484900000000003","2.5779999999999998","0.59640000000000004","0.1234","0.26900000000000002","0.26900000000000002","1.4053","0.1651","0.16","8.3599999999999994E-2","0.16350000000000001","3.8600000000000002E-2","1.6E-2","Out of Season","Decentralized"
"YB","september","0.2198","4.9996999999999998","5.2400000000000002E-2","0.33019999999999999","0.2374","21.712900000000001","0.45639999999999997","24.8005","0.20599999999999999","2.4662999999999999","0.1132","0.28699999999999998","1.4088000000000001","3.9022000000000001","1.5255000000000001","4.5834000000000001","0.81259999999999999","56.731999999999999","3.4489000000000001","1.7751999999999999","0.15260000000000001","0.86040000000000005","0.86040000000000005","13.546900000000001","0.24879999999999999","9.6000000000000002E-2","0.4506","0.32119999999999999","0.1053","7.1400000000000005E-2","Out of Season","Centralized"
