"site","rep","collection_date","nh3_n","no3_no2","total_n","srp","total_p","month","collection_data_formatted"
"BB","1","8/23/2017",16,4,84,0.4,8,"august","20170823"
"BB","2","8/23/2017",17,9,81,0.4,3,"august","20170823"
"FI","1","8/23/2017",5,40,58,0.4,44,"august","20170823"
"FI","2","8/23/2017",3,0.75,51,0.4,23,"august","20170823"
"BO","1","8/23/2017",10,25,54,0.4,18,"august","20170823"
"BO","2","8/23/2017",32,45,55,113,43,"august","20170823"
"DU","1","8/23/2017",25,0.75,62,0.4,120,"august","20170823"
"DU","2","8/23/2017",28,0.75,61,112,117,"august","20170823"
"SA","1","8/23/2017",11,50,56,0.4,125,"august","20170823"
"SA","2","8/23/2017",9,33,57,0.4,44,"august","20170823"
"SJ","1","8/23/2017",27,43,53,0.4,122,"august","20170823"
"SJ","2","8/23/2017",13,39,52,0.4,9,"august","20170823"
"DA","1","8/24/2017",26,5,95,0.4,4,"august","20170824"
"DA","2","8/24/2017",20,3,99,0.4,10,"august","20170824"
"WS","1","8/24/2017",15,2,93,0.4,0.75,"august","20170824"
"WS","2","8/24/2017",4,0.75,85,0.4,0.75,"august","20170824"
"LK","1","8/24/2017",24,24,94,0.4,0.75,"august","20170824"
"LK","2","8/24/2017",26,25,102,0.4,5,"august","20170824"
"HO","1","8/24/2017",22,37,52,0.4,118,"august","20170824"
"HO","2","8/24/2017",21,38,108,0.4,129,"august","20170824"
"WF","1","8/24/2017",5,0.75,65,0.4,0.75,"august","20170824"
"WF","2","8/24/2017",8,0.75,70,0.4,0.75,"august","20170824"
"WB","1","8/24/2017",2,0.75,67,0.4,0.75,"august","20170824"
"WB","2","8/24/2017",11,3,71,0.4,0.75,"august","20170824"
"BD","1","8/24/2017",9,11,77,0.4,0.75,"august","20170824"
"BD","2","8/24/2017",2,0.75,66,0.4,0.75,"august","20170824"
"FLBS","1","8/24/2017",6,4,60,20,119,"august","20170824"
"FLBS","2","8/24/2017",13,2,68,0.4,0.75,"august","20170824"
"YB","1","8/24/2017",33,47,98,0.4,17,"august","20170824"
"YB","2","8/24/2017",34,46,91,0.4,0.75,"august","20170824"
"DA","1","9/21/2017",4,0.75,78,0.4,3,"september","20170921"
"DA","2","9/21/2017",13,0.75,82,0.4,122,"september","20170921"
"WS","1","9/21/2017",18,36,76,0.4,19,"september","20170921"
"WS","2","9/21/2017",15,2,73,0.4,5,"september","20170921"
"LK","1","9/21/2017",17,13,83,0.4,21,"september","20170921"
"LK","2","9/21/2017",7,0.75,92,0.4,43,"september","20170921"
"HO","1","9/21/2017",21,42,107,0.4,128,"september","20170921"
"HO","2","9/21/2017",28,41,106,0.4,130,"september","20170921"
"WF","1","9/21/2017",24,2,88,114,25,"september","20170921"
"WF","2","9/21/2017",29,9,72,115,5,"september","20170921"
"WB","1","9/21/2017",11,3,64,113,0.75,"september","20170921"
"WB","2","9/21/2017",12,36,69,114,36,"september","20170921"
"BD","1","9/21/2017",12,4,80,113,122,"september","20170921"
"BD","2","9/21/2017",15,5,86,0.4,122,"september","20170921"
"FLBS","1","9/21/2017",22,14,100,0.4,43,"september","20170921"
"FLBS","2","9/21/2017",17,0.75,97,116,40,"september","20170921"
"YB","1","9/21/2017",14,8,97,0.4,124,"september","20170921"
"YB","2","9/21/2017",16,39,89,0.4,17,"september","20170921"
"BB","1","9/21/2017",16,40,90,0.4,14,"september","20170921"
"BB","2","9/21/2017",20,9,75,0.4,23,"september","20170921"
"FI","1","9/21/2017",14,12,87,0.4,123,"september","20170921"
"FI","2","9/21/2017",11,39,79,0.4,122,"september","20170921"
"BO","1","9/21/2017",17,48,105,0.4,24,"september","20170921"
"BO","2","9/21/2017",16,49,103,0.4,17,"september","20170921"
"DU","1","9/21/2017",31,0.75,74,115,126,"september","20170921"
"DU","2","9/21/2017",30,0.75,63,114,121,"september","20170921"
"SA","1","9/21/2017",23,19,101,0.4,15,"september","20170921"
"SA","2","9/21/2017",24,44,109,0.4,127,"september","20170921"
"SJ","1","9/21/2017",19,0.75,104,0.4,16,"september","20170921"
"SJ","2","9/21/2017",17,0.75,96,0.4,40,"september","20170921"
