"site","sampling_event","ppcp","concentration","peri_sampling","month","time","stt","tourist_season"
"BD","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"BD","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"DU","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"DU","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"DU","august_2","acetaminophen",0,"peri_3","september",2,"decentralized","In Season"
"DU","august_2","acetaminophen",0,"peri_3","september",2,"decentralized","In Season"
"LK","june_2","acetaminophen",0,"peri_1","july",2,"decentralized","In Season"
"LK","june_2","acetaminophen",0,"peri_1","july",2,"decentralized","In Season"
"LK","august_2","acetaminophen",0,"peri_3","september",2,"decentralized","In Season"
"LK","august_2","acetaminophen",0,"peri_3","september",2,"decentralized","In Season"
"SL","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"SL","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"SL","may_1","acetaminophen",0.0147013371729398,NA,"june",2,"decentralized","In Season"
"SL","may_1","acetaminophen",0,NA,"june",2,"decentralized","In Season"
"SJ","may_1","acetaminophen",0,NA,"june",2,"decentralized","In Season"
"WB","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"WB","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"WB","june_2","acetaminophen",0,"peri_1","july",2,"decentralized","In Season"
"WS","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"WS","july_2","acetaminophen",0,"peri_2","august",2,"decentralized","In Season"
"YB","july_2","acetaminophen",0,"peri_2","august",2,"centralized","In Season"
"YB","july_2","acetaminophen",0,"peri_2","august",2,"centralized","In Season"
"YB","august_2","acetaminophen",0,"peri_3","september",2,"centralized","In Season"
"YB","august_2","acetaminophen",0,"peri_3","september",2,"centralized","In Season"
"BB","june_2","acetaminophen",0,"peri_1","july",1,"decentralized","In Season"
"BB","june_2","acetaminophen",0,"peri_1","july",1,"decentralized","In Season"
"BD","june_2","acetaminophen",0,"peri_1","july",1,"decentralized","In Season"
"BD","june_2","acetaminophen",0,"peri_1","july",1,"decentralized","In Season"
"BO","august_2","acetaminophen",0,"peri_3","september",1,"decentralized","In Season"
"DA","june_2","acetaminophen",0.000183171062574368,"peri_1","july",1,"decentralized","In Season"
"DA","june_2","acetaminophen",0,"peri_1","july",1,"decentralized","In Season"
"SL","august_2","acetaminophen",0,"peri_3","september",1,"decentralized","In Season"
"SJ","june_2","acetaminophen",3.14625663879796e-05,"peri_1","july",1,"decentralized","In Season"
"SJ","june_2","acetaminophen",0,"peri_1","july",1,"decentralized","In Season"
"BO","september_1","acetaminophen",0,"peri_4","september",15,"decentralized","Out of Season"
"BO","september_1","acetaminophen",0,"peri_4","september",15,"decentralized","Out of Season"
"SL","june_2","acetaminophen",0,"peri_1","june",29,"decentralized","In Season"
"SL","june_2","acetaminophen",0,"peri_1","june",29,"decentralized","In Season"
"SJ","july_1","acetaminophen",0,"peri_2","july",20,"decentralized","In Season"
"SJ","july_1","acetaminophen",0,"peri_2","july",20,"decentralized","In Season"
"WB","july_2","acetaminophen",0.0111411765047434,"peri_2","july",25,"decentralized","In Season"
"WB","july_2","acetaminophen",0,"peri_2","july",25,"decentralized","In Season"
"WF","july_1","acetaminophen",0.00180609506357233,"peri_2","july",18,"centralized","In Season"
"WF","july_1","acetaminophen",0,"peri_2","july",18,"centralized","In Season"
"BD","july_2","acetaminophen",0,"peri_2","july",30,"decentralized","In Season"
"BO","may_1","acetaminophen",0,NA,"may",24,"decentralized","In Season"
"BO","may_1","acetaminophen",0,NA,"may",24,"decentralized","In Season"
"FI","july_1","acetaminophen",0,"peri_2","july",20,"decentralized","In Season"
"FI","july_1","acetaminophen",0,"peri_2","july",20,"decentralized","In Season"
"SL","september_1","acetaminophen",0.0558486402215114,"peri_4","september",15,"decentralized","Out of Season"
"SL","september_1","acetaminophen",0,"peri_4","september",15,"decentralized","Out of Season"
"BB","july_2","caffeine",0.506006063194371,"peri_2","august",2,"decentralized","In Season"
"BB","june_2","caffeine",0.316652545718895,"peri_1","july",2,"decentralized","In Season"
"BB","may_1","caffeine",0.179158072822671,NA,"june",2,"decentralized","In Season"
"BB","august_2","caffeine",0.196803122596777,"peri_3","september",2,"decentralized","In Season"
"BD","june_2","caffeine",0.397276043598261,"peri_1","july",2,"decentralized","In Season"
"BD","may_1","caffeine",0.048613596342409,NA,"june",2,"decentralized","In Season"
"BD","august_2","caffeine",0.215046661034172,"peri_3","september",2,"decentralized","In Season"
"BO","july_2","caffeine",0.298187393669985,"peri_2","august",2,"decentralized","In Season"
