"date_collected","total_dry_mass_carbon_mg","carbon_mg","total_dry_mass_nitrogen_mg","nitrogen_mg","total_dry_mass_phosphorus_mg","phosphorus_ug","month","site","collection_data_formatted"
"7/1/2017",7,6,7,6,34,35,"july","BO","201707"
"7/1/2017",5,9,5,34,10,8,"july","FLBS","201707"
"7/1/2017",19,11,19,31,20,5,"july","SJ","201707"
"7/1/2017",11,35,11,30,33,26,"july","SL","201707"
"7/1/2017",30,10,30,32,12,19,"july","WB","201707"
"7/1/2017",6,20,6,19,27,34,"july","YB","201707"
"7/1/2017",8,7,8,7,31,17,"july","FI","201707"
"7/1/2017",15,26,15,20,8,11,"july","BD","201707"
"8/1/2017",4,33,4,33,26,24,"august","FL","201708"
"8/1/2017",23,27,23,23,17,27,"august","BD","201708"
"8/1/2017",28,19,28,10,24,21,"august","WB","201708"
"8/1/2017",31,28,31,25,25,32,"august","WF","201708"
"8/1/2017",18,31,18,28,14,15,"august","WB","201708"
"8/1/2017",27,15,27,13,3,23,"august","DA","201708"
"8/1/2017",3,5,3,5,18,14,"august","LK","201708"
"8/1/2017",26,4,26,4,27,9,"august","BO","201708"
"8/1/2017",20,34,20,24,5,6,"august","SA","201708"
"8/1/2017",21,8,21,29,9,3,"august","SJ","201708"
"8/1/2017",25,3,25,2,6,4,"august","FI","201708"
"8/1/2017",10,24,10,17,19,28,"august","BB","201708"
"8/1/2017",24,16,24,14,4,29,"august","YB","201708"
"9/1/2017",8,12,8,35,28,20,"september","FL","201709"
"9/1/2017",12,17,12,12,21,33,"september","YB","201709"
"9/1/2017",22,25,22,18,11,10,"september","WB","201709"
"9/1/2017",17,14,17,9,30,16,"september","BO","201709"
"9/1/2017",9,23,9,16,32,31,"september","BD","201709"
"9/1/2017",19,13,19,8,13,22,"september","FI","201709"
"9/1/2017",29,32,29,27,16,12,"september","SJ","201709"
"9/1/2017",8,30,8,22,23,7,"september","SA","201709"
"9/1/2017",24,18,24,11,7,13,"september","LK","201709"
"9/1/2017",16,22,16,21,15,30,"september","WF","201709"
"9/1/2017",14,21,14,15,22,25,"september","DA","201709"
"9/1/2017",13,29,13,26,29,18,"september","WS","201709"
