"sampling_site","month","idw_pop","stt","tourist_season"
"DU","June",749.292142417553,"Decentralized","In Season"
"DU","July",1079.34432671066,"Decentralized","In Season"
"DU","August",626.923844578714,"Decentralized","In Season"
"DU","September",362.018686091117,"Decentralized","Out of Season"
"SJ","June",768.383901036691,"Decentralized","In Season"
"SJ","July",1106.84572461136,"Decentralized","In Season"
"SJ","August",642.897692475558,"Decentralized","In Season"
"SJ","September",371.242823085493,"Decentralized","Out of Season"
"BO","June",768.498557699075,"Decentralized","In Season"
"BO","July",1107.01088584963,"Decentralized","In Season"
"BO","August",642.993624344477,"Decentralized","In Season"
"BO","September",371.298219174573,"Decentralized","Out of Season"
"SL","June",769.852550999809,"Decentralized","In Season"
"SL","July",1108.96129331398,"Decentralized","In Season"
"SL","August",644.126494472931,"Decentralized","In Season"
"SL","September",371.952397762548,"Decentralized","Out of Season"
"FI","June",933.453837363819,"Decentralized","In Season"
"FI","July",1344.62654359917,"Decentralized","In Season"
"FI","August",781.009749506709,"Decentralized","In Season"
"FI","September",450.995963522124,"Decentralized","Out of Season"
"BB","June",1230.30435161063,"Decentralized","In Season"
"BB","July",1772.23534969137,"Decentralized","In Season"
"BB","August",1029.38105239576,"Decentralized","In Season"
"BB","September",594.418571406908,"Decentralized","Out of Season"
"YB","June",1649.05022401725,"Centralized","In Season"
"YB","July",2375.43262900266,"Centralized","In Season"
"YB","August",1379.74075506609,"Centralized","In Season"
"YB","September",796.734626724951,"Centralized","Out of Season"
"FLBS","June",1664.5523500829,"Centralized","In Season"
"FLBS","July",2397.76321392903,"Centralized","In Season"
"FLBS","August",1392.71119999945,"Centralized","In Season"
"FLBS","September",804.224441434336,"Centralized","Out of Season"
"LK","June",1907.83362602915,"Decentralized","In Season"
"LK","July",2748.20631899122,"Decentralized","In Season"
"LK","August",1596.26175684653,"Decentralized","In Season"
"LK","September",921.765201416775,"Decentralized","Out of Season"
"BD","June",3493.41004616936,"Decentralized","In Season"
"BD","July",5032.20586571387,"Decentralized","In Season"
"BD","August",2922.89473337882,"Decentralized","In Season"
"BD","September",1687.83261333999,"Decentralized","Out of Season"
"WS","June",4516.23388266636,"Decentralized","In Season"
"WS","July",6505.56858053634,"Decentralized","In Season"
"WS","August",3778.67930070998,"Decentralized","In Season"
"WS","September",2182.00747575964,"Decentralized","Out of Season"
"HO","June",5180.53697350472,"Centralized","In Season"
"HO","July",7462.48742663466,"Centralized","In Season"
"HO","August",4334.49381429903,"Centralized","In Season"
"HO","September",2502.96390716655,"Centralized","Out of Season"
"WF","June",5576.85372064141,"Centralized","In Season"
"WF","July",8033.37588039884,"Centralized","In Season"
"WF","August",4666.08733399646,"Centralized","In Season"
"WF","September",2694.44338486588,"Centralized","Out of Season"
"WB","June",13817.6337278866,"Decentralized","In Season"
"WB","July",19904.0984530294,"Decentralized","In Season"
"WB","August",11561.0501822663,"Decentralized","In Season"
"WB","September",6675.95631113699,"Decentralized","Out of Season"
"DA","June",16253.518787803,"Decentralized","In Season"
"DA","July",23412.955107334,"Decentralized","In Season"
"DA","August",13599.1263080715,"Decentralized","In Season"
"DA","September",7852.84828549387,"Decentralized","Out of Season"
