"tourist_season","term","variable","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"In Season","stt","log10(nh3_n)","centralized","decentralized",24,1.91462539179712,0.0675344371661974,0.0675344371661974,"ns"
"Out of Season","stt","log10(nh3_n)","centralized","decentralized",24,0.619172922978487,0.541635947610282,0.541635947610282,"ns"
"In Season","stt","log10(no3_no2)","centralized","decentralized",24,0.550308625921704,0.587193629614555,0.587193629614555,"ns"
"Out of Season","stt","log10(no3_no2)","centralized","decentralized",24,1.16353067024059,0.256052031045597,0.256052031045597,"ns"
"In Season","stt","log10(srp)","centralized","decentralized",24,1.54122055098859,0.136346186879908,0.136346186879908,"ns"
"Out of Season","stt","log10(srp)","centralized","decentralized",24,1.19667464568501,0.243121293036188,0.243121293036188,"ns"
"In Season","stt","log10(total_n)","centralized","decentralized",24,1.22659413468042,0.231873348910453,0.231873348910453,"ns"
"Out of Season","stt","log10(total_n)","centralized","decentralized",24,0.431112554898781,0.670234093161443,0.670234093161443,"ns"
"In Season","stt","log10(total_p)","centralized","decentralized",24,1.43073018700035,0.165399913442108,0.165399913442108,"ns"
"Out of Season","stt","log10(total_p)","centralized","decentralized",24,0.891088058152754,0.38172857759343,0.38172857759343,"ns"
"In Season","stt","mean_afdm","centralized","decentralized",21,-0.982988170658471,0.336803654659615,0.336803654659615,"ns"
"Out of Season","stt","mean_afdm","centralized","decentralized",21,1.27692231009047,0.215569042429521,0.215569042429521,"ns"
"In Season","stt","asin(sqrt(mean_total_branched_odd))","Centralized","Decentralized",21,-0.811822654823256,0.426000291932292,0.426000291932292,"ns"
"Out of Season","stt","asin(sqrt(mean_total_branched_odd))","Centralized","Decentralized",21,0.033752826710726,0.97339301853431,0.97339301853431,"ns"
"In Season","stt","log10(mean_conc)","centralized","decentralized",26,-0.451442749449649,0.655413660183078,0.655413660183078,"ns"
"Out of Season","stt","log10(mean_conc)","centralized","decentralized",26,1.5904059039813,0.123830585058005,0.123830585058005,"ns"
