site,rep,month,dry_weight,after_ignition,AFDM
Beardance,1,JUNE,1.6401,1.6209,0.0192
FLBS,1,JUNE,1.9629,1.9628,0.0001
Yellow Bay,1,JUNE,1.2214,1.2183,0.0031
Blue Bay,1,JUNE,0.9669,0.9664,0.0005
Finley Point,1,JUNE,1.2852,1.284,0.0012
Boettcher,1,JUNE,1.6636,1.6548,0.0088
Salish Park,1,JUNE,1.53,1.5293,0.0007
Wayfarers,1,JULY,2.388,2.3873,0.0007
Woods Bay,1,JULY,1.0898,1.0747,0.0151
Beardance,1,JULY,1.2165,1.2156,0.0009
FLBS,1,JULY,1.3446,1.3441,0.0005
Yellow Bay,1,JULY,1.5901,1.5876,0.0025
Blue Bay,1,JULY,1.1881,1.1861,0.002
Finley Point,1,JULY,1.5258,1.5239,0.0019
Boettcher,1,JULY,2.5115,2.5035,0.008
Salish Park,1,JULY,1.3028,1.2974,0.0054
Sacajawea,1,JULY,1.5516,1.5511,0.0005
Dayton,1,AUGUST,1.6003,1.5978,0.0025
West Shore,1,AUGUST,1.5495,1.5474,0.0021
Lakeside,1,AUGUST,1.6254,1.6247,0.0007
Wayfarers,1,AUGUST,1.8811,1.8778,0.0033
Woods Bay,1,AUGUST,1.6565,1.6539,0.0026
Beardance,1,AUGUST,1.645,1.6429,0.0021
FLBS,1,AUGUST,1.5947,1.5947,0
Yellow Bay,1,AUGUST,1.8082,1.8062,0.002
Blue Bay,1,AUGUST,2.0855,2.0789,0.0066
Finley Point,1,AUGUST,1.9029,1.904,-0.0011
Boettcher,1,AUGUST,1.8741,1.8649,0.0092
Salish Park,1,AUGUST,1.926,1.9194,0.0066
Sacajawea,1,AUGUST,1.6454,NA,#VALUE!
Dayton,1,SEPTEMBER,1.7146,1.7139,0.0007
West Shore,1,SEPTEMBER,1.6999,1.6972,0.0027
Lakeside,1,SEPTEMBER,1.7402,1.7399,0.0003
Wayfarers,1,SEPTEMBER,1.6949,1.6947,0.0002
Woods Bay,1,SEPTEMBER,1.6979,1.6941,0.0038
Beardance,1,SEPTEMBER,1.8791,1.8754,0.0037
FLBS,1,SEPTEMBER,1.4644,1.4639,0.0005
Yellow Bay,1,SEPTEMBER,1.7048,1.6924,0.0124
Finley Point,1,SEPTEMBER,1.7013,1.6994,0.0019
Boettcher,1,SEPTEMBER,1.7322,1.7289,0.0033
Salish Park,1,SEPTEMBER,1.9211,1.9136,0.0075
Sacajawea,1,SEPTEMBER,1.8298,1.8265,0.0033
Beardance,2,JUNE,1.3448,1.331,
FLBS,2,JUNE,1.2402,1.2391,
Yellow Bay,2,JUNE,1.1428,1.1407,
Blue Bay,2,JUNE,0.9386,0.9372,
Finley Point,2,JUNE,2.1047,2.1024,
Boettcher,2,JUNE,1.1973,1.1906,
Salish Park,2,JUNE,1.3354,1.334,
Wayfarers,2,JULY,2.5568,2.554,
Woods Bay,2,JULY,1.1961,1.1938,
Beardance,2,JULY,1.2381,1.2351,
FLBS,2,JULY,1.5526,1.5503,
Yellow Bay,2,JULY,1.6518,1.6466,
Blue Bay,2,JULY,1.3083,1.3046,
Finley Point,2,JULY,1.623,1.6229,
Boettcher,2,JULY,2.7836,2.7814,
Salish Park,2,JULY,1.3096,1.3049,
Sacajawea,2,JULY,1.6332,1.6302,
Dayton,2,AUGUST,1.6661,1.659,
West Shore,2,AUGUST,1.5375,1.526,
Lakeside,2,AUGUST,1.4964,1.4962,
Wayfarers,2,AUGUST,1.74,1.7356,
Woods Bay,2,AUGUST,1.6536,1.6526,
Beardance,2,AUGUST,1.6134,1.6095,
FLBS,2,AUGUST,1.624,1.6229,
Yellow Bay,2,AUGUST,1.7187,1.7139,
Blue Bay,2,AUGUST,2.1738,2.1629,
Finley Point,2,AUGUST,2.1073,2.0811,
Boettcher,2,AUGUST,1.6185,1.6128,
Salish Park,2,AUGUST,1.9247,1.9104,
Sacajawea,2,AUGUST,1.8455,1.8422,
Dayton,2,SEPTEMBER,2.0041,2.0024,
West Shore,2,SEPTEMBER,1.575,1.5738,
Lakeside,2,SEPTEMBER,1.5478,1.5468,
Wayfarers,2,SEPTEMBER,1.9061,1.9025,
Woods Bay,2,SEPTEMBER,1.6395,1.6348,
Beardance,2,SEPTEMBER,1.7561,1.7418,
FLBS,2,SEPTEMBER,1.0778,1.0748,
Yellow Bay,2,SEPTEMBER,1.8349,1.8155,
Finley Point,2,SEPTEMBER,1.885,1.8833,
Boettcher,2,SEPTEMBER,1.6828,1.6794,
Salish Park,2,SEPTEMBER,1.7519,1.7501,
Sacajawea,2,SEPTEMBER,1.9627,1.9587,
Beardance,3,JUNE,1.5158,1.498,
FLBS,3,JUNE,1.3402,1.3393,
Yellow Bay,3,JUNE,1.156,1.1533,
Blue Bay,3,JUNE,1.0501,1.0491,
Finley Point,3,JUNE,1.654,1.6518,
Boettcher,3,JUNE,1.3925,1.3858,
Salish Park,3,JUNE,1.2947,1.2922,
Wayfarers,3,JULY,2.5369,2.5344,
Woods Bay,3,JULY,1.153,1.1457,
Beardance,3,JULY,1.2128,1.2101,
FLBS,3,JULY,1.1251,1.1216,
Yellow Bay,3,JULY,1.8176,1.8103,
Blue Bay,3,JULY,1.3608,1.3579,
Finley Point,3,JULY,1.3999,1.3977,
Boettcher,3,JULY,2.3964,2.3932,
Salish Park,3,JULY,1.4023,1.3972,
Sacajawea,3,JULY,1.5067,1.5034,
Dayton,3,AUGUST,1.6347,1.6267,
West Shore,3,AUGUST,1.4888,1.4869,
Lakeside,3,AUGUST,1.5265,1.5264,
Wayfarers,3,AUGUST,1.7644,1.7613,
Woods Bay,3,AUGUST,1.7694,1.767,
Beardance,3,AUGUST,1.71,1.7095,
FLBS,3,AUGUST,1.6324,1.6319,
Yellow Bay,3,AUGUST,1.6838,1.6804,
Blue Bay,3,AUGUST,2.0256,2.0262,
Finley Point,3,AUGUST,2.0625,2.06,
Boettcher,3,AUGUST,1.6304,1.628,
Salish Park,3,AUGUST,1.8159,1.8023,
