PEAK_TIME,AREA.x,SITE,MONTH,TIME,LINE,DATE_HPLC,ROW,PPCP,AREA.y,AREA,CONCENTRATION
2.29560256,1870.066895,BD,AUGUST,2,LINEC,20180901,ROW2,acetaminophen,0,1870.066895,0.001347339
2.669472218,2121.209229,DU,AUGUST,2,LINED,20180901,ROW2,acetaminophen,2879.066406,-757.8571777,NA
2.69767499,1393.46814,DU,SEPTEMBER,2,LINED,20180901,ROW2,acetaminophen,2879.066406,-1485.598267,NA
2.269361019,1213.056519,LK,JULY,2,LINEC,20180901,ROW2,acetaminophen,0,1213.056519,0.000514555
2.283005714,1314.675415,LK,SEPTEMBER,2,LINED,20180901,ROW2,acetaminophen,2879.066406,-1564.390991,NA
2.299655676,1529.27771,SA,AUGUST,2,LINED,20180901,ROW2,acetaminophen,2879.066406,-1349.788696,NA
2.763891459,10362.45996,SA,JUNE,2,LINEE,20180901,ROW2,acetaminophen,4618.950195,5743.509766,0.016339562
2.651113987,5211.477539,SJ,JUNE,2,LINEF,20180902,ROW2,acetaminophen,0,5211.477539,0.013162976
2.267562389,1141.177856,WB,AUGUST,2,LINED,20180901,ROW2,acetaminophen,2879.066406,-1737.88855,NA
2.713400602,5622.723633,WB,JULY,2,LINEF,20180902,ROW2,acetaminophen,0,5622.723633,0.015585193
2.706902266,1013.130676,WS,AUGUST,2,LINEC,20180901,ROW2,acetaminophen,0,1013.130676,0.000344736
2.699330568,1162.227539,YB,AUGUST,2,LINED,20180901,ROW2,acetaminophen,2879.066406,-1716.838867,NA
2.274928808,2118.089111,YB,SEPTEMBER,2,LINEC,20180831,ROW2,acetaminophen,0,2118.089111,0.001777307
8.888300896,5112.460938,BB,AUGUST,2,LINEB,20180831,ROW4,caffeine,0,5112.460938,0.250283124
9.315185547,3797.372314,BB,JULY,2,LINEE,20180902,ROW4,caffeine,0,3797.372314,0.152600828
9.214324951,2645.855713,BB,JUNE,2,LINEE,20180901,ROW4,caffeine,0,2645.855713,0.083652344
