SITE,C12:0,C14:0,iso-C15:0,C15:0,C15:1,C16:0,C16:1w9,C16:1w7c,C16:2,C16:2w6,C17:0,C16:3w3,C18:0,C18:1w9c,C18:1w7c,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:4w6,C20:4w2,C20:5w3,C22:0,C22:1w9c,C22:6w3,C24:0,C26:0,C28:0
BD_09_3162018_34.qgd,0.009420174,0.198953856,0.003455506,0.018688933,0.01815898,1.027923752,0.043055927,0.980033362,0.004239619,0.046316756,0.007787055,0.071792324,0.085360187,0.325190676,0.109721773,0.280669269,0.060955339,3.058252427,0.284843995,0.132077111,0.010117764,0.027233063,0.027233063,0.336184484,0.019343262,0.010599048,0.016861138,0.02332872,0.005991706,0.003401429
BO_09_3162018_38.qgd,0.004628998,0.032659077,0.000961556,0.004571015,0.005049377,0.180091208,0.010925015,0.204932207,0.000903573,0.004416392,0.002024583,0.001696011,0.030963067,0.074039805,0.016530064,0.039873163,0.008480053,2.5066313,0.017037418,0.011852747,0.00239181,0.004730469,0.004730469,0.032287018,0.002701054,0,0.001652523,0.002556096,0.001232145,0.000710295
DA_09_3162018_41.qgd,0.013761646,0.080785865,0.001799172,0.01043621,0.006388072,0.41446156,0.023419562,0.503025307,0.001369595,0.012316244,0.003739852,0.0047203,0.049032497,0.135049102,0.058442774,0.101264084,0.013327015,2.555309735,0.055668208,0.027487915,0.004750623,0.010628256,0.010112763,0.07500931,0.007267443,0.005311601,0.003446729,0.0092435,0.003578129,0.001794118
FI_09_3162018_37.qgd,0.003615086,0.035538464,0.000938342,0.005210267,0.004518857,0.198459309,0.009225382,0.214722255,0.000538312,0.006958546,0.002014966,0.002281652,0.030782552,0.087231225,0.027814429,0.071960945,0.007610447,2.495199232,0.030915896,0.018781654,0.003422479,0.00410895,0.00410895,0.047410958,0.003353338,0.001866806,0.001842113,0.005121371,0.001096378,0.000701287
FLBS_09_3162018_35.qgd,0.054536128,0.223614423,0.009508681,0.054663454,0.030603997,1.014826283,0.142131092,0.869929678,0.00249049,0.028368158,0.017978384,0.022353294,0.170158017,0.546008097,0.083327007,0.269059499,0.030278043,2.87392867,0.120124124,0.037428652,0.013842846,0.020983269,0.020983269,0.109917699,0.020825386,0.032804184,0.010140216,0.030318787,0.008484982,0.002979421
LK_09_3162018_42.qgd,0.017103916,0.102756795,0.003461233,0.026030496,0.011192699,0.565127896,0.060932412,0.561721822,0.00245458,0.01419887,0.00829225,0.019222944,0.065257804,0.203817447,0.056515088,0.142117404,0.015692762,2.391854579,0.105349272,0.02537778,0.006844324,0.011592603,0.011592603,0.087565061,0.008034841,0.017609541,0.006632881,0.019797518,0.004569012,0.002353455
SJ_09_3162018_40.qgd,0.005889673,0.065453257,0.001360386,0.008215667,0.008797165,0.293304638,0.017717032,0.297353788,0.001403065,0.011549947,0.003328945,0.005537573,0.035338037,0.113200151,0.040395473,0.115835566,0.012856985,2.758026002,0.058661995,0.027149044,0.004374576,0.008103635,0.008103635,0.078107517,0.005889673,0.003617027,0.003558344,0.006332465,0.001637799,0.001008286
SL_09_3162018_39.qgd,0.004280894,0.041811757,0.001562463,0.007583661,0.006986622,0.304197523,0.015103807,0.242886739,0.000952721,0.006649994,0.003372633,0.005278075,0.049173116,0.109327932,0.04914771,0.092210708,0.007259735,3.124436429,0.071180976,0.014608392,0.005474971,0.006561073,0.006561073,0.042218252,0.006649994,0.004484141,0.00172125,0.005201858,0.001492597,0.001003533
WB_09_3162018_33.qgd,0.007741003,0.177327657,0.001926079,0.011813283,0.009593707,0.822484573,0.017383626,0.96898274,0.007655399,0.089474004,0.004029479,0.009330782,0.054309308,0.15864775,0.048940746,0.152551557,0.026359764,3.16149635,0.115155055,0.063499456,0.006469179,0.028970671,0.029545438,0.504761056,0.008529778,0.002604792,0.014650428,0.010993936,0.003858272,0.007685972
WF_09_3162018_32.qgd,0.006130077,0.054851764,0.001802309,0.009300806,0.003875336,0.345876508,0.023741531,0.347441476,0.000856653,0.008002847,0.003767791,0.013617448,0.045647377,0.145004314,0.041938922,0.116497417,0.013146474,1.997885835,0.073675883,0.019283968,0.017077437,0.009834824,0.009834824,0.054050737,0.026166861,0.007461412,0.004283266,0.02751303,0.018423606,0.014255302
